quest_id,quest_name,rule_id,rule,category,description
5,Check the stats and consume pumpkin,5,"shows_experience(stats_panel, player)",ui,User interface and menu interaction
5,Check the stats and consume pumpkin,6,"ui_navigation(player, interface)",movement,Basic movement and navigation
5,Check the stats and consume pumpkin,7,"interface_interaction(player, stats)",ui,User interface and menu interaction
5,Check the stats and consume pumpkin,8,information_display(stats_panel),ui,User interface and menu interaction
5,Check the stats and consume pumpkin,9,ui_toggle_action(open_close),ui,User interface and menu interaction
5,Check the stats and consume pumpkin,10,interface_feedback(ui_interaction),ui,User interface and menu interaction
6,Kill two goblins and one sheep,1,is_enemy(sheep),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,2,is_enemy(goblin),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,3,"multi_target_combat(player, enemies)",combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,4,"target_prioritization(goblin, sheep)",environment,Environmental awareness and interaction
6,Kill two goblins and one sheep,5,"threat_level(goblin, high)",environment,Environmental awareness and interaction
6,Kill two goblins and one sheep,6,"threat_level(sheep, medium)",environment,Environmental awareness and interaction
6,Kill two goblins and one sheep,7,combat_strategy(multi_enemy),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,8,area_awareness(multiple_threats),environment,Environmental awareness and interaction
6,Kill two goblins and one sheep,9,health_management(combat_extended),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,10,combat_fatigue(player),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,11,"enemy_coordination(goblin, sheep)",combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,12,positioning_strategy(multi_combat),movement,Basic movement and navigation
6,Kill two goblins and one sheep,13,retreat_conditions(overwhelmed),environment,Environmental awareness and interaction
6,Kill two goblins and one sheep,14,combat_efficiency(target_order),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,15,damage_distribution(multiple_enemies),combat,Combat mechanics and enemy interaction
6,Kill two goblins and one sheep,16,victory_conditions(all_enemies_defeated),environment,Environmental awareness and interaction
7,Find Purple Bob and interact with him,1,is_npc(purple_bob),social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,2,has_dialogue(purple_bob),social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,3,"social_interaction(player, purple_bob)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,4,"npc_location(purple_bob, fixed)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,5,"dialogue_trigger(player, purple_bob)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,6,"conversation_state(active, inactive)",environment,Environmental awareness and interaction
7,Find Purple Bob and interact with him,7,"npc_response(purple_bob, player)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,8,"social_protocol(greeting, conversation)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,9,"interaction_key(player, interact_button)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,10,dialogue_progression(advance_dialogue),social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,11,"npc_ai_behavior(purple_bob, friendly)",social,NPC interaction and dialogue
7,Find Purple Bob and interact with him,12,quest_giver_role(purple_bob),quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,1,is_npc(brother_blue),social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,2,"quest_chain(purple_bob, brother_blue)",quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,3,"information_transfer(player, npc)",social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,4,quest_state_tracking(active_quest),quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,5,"social_network(purple_bob, brother_blue)",social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,6,reporting_protocol(quest_completion),quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,7,"npc_relationship(purple_bob, brother_blue, brothers)",social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,8,"quest_objective_sequence(find, report)",quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,9,location_tracking(brother_blue),environment,Environmental awareness and interaction
8,Find Brother Blue and report back to Purple Bob,10,dialogue_context(quest_related),social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,11,completion_verification(report_back),quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,12,quest_chain_progression(multi_step),quest,Quest mechanics and progression
8,Find Brother Blue and report back to Purple Bob,13,npc_memory(previous_interaction),social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,14,social_obligation(complete_quest),social,NPC interaction and dialogue
8,Find Brother Blue and report back to Purple Bob,15,"information_relay(player, messenger)",environment,Environmental awareness and interaction
9,Kill one more goblin,1,"skill_transfer(combat, goblin)",combat,Combat mechanics and enemy interaction
9,Kill one more goblin,2,pattern_recognition(similar_enemy),combat,Combat mechanics and enemy interaction
9,Kill one more goblin,3,efficiency_improvement(repeated_task),environment,Environmental awareness and interaction
9,Kill one more goblin,4,learned_behavior(combat_goblin),combat,Combat mechanics and enemy interaction
9,Kill one more goblin,5,skill_application(previous_knowledge),skill,Skill system and character progression
9,Kill one more goblin,6,combat_experience(goblin_type),combat,Combat mechanics and enemy interaction
9,Kill one more goblin,7,behavioral_pattern(enemy_goblin),combat,Combat mechanics and enemy interaction
9,Kill one more goblin,8,knowledge_reuse(combat_strategy),combat,Combat mechanics and enemy interaction
9,Kill one more goblin,9,performance_optimization(familiar_task),environment,Environmental awareness and interaction
9,Kill one more goblin,10,muscle_memory(combat_actions),combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",1,"class_change(player, archer)",skill,Skill system and character progression
10,"Kill goblin by standing top, convert to archer, and shoot",2,"equipment_change(sword, bow)",ui,User interface and menu interaction
10,"Kill goblin by standing top, convert to archer, and shoot",3,"weapon_type(bow, ranged)",combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",4,positioning_strategy(ranged_combat),movement,Basic movement and navigation
10,"Kill goblin by standing top, convert to archer, and shoot",5,ability_unlock(archer_skills),skill,Skill system and character progression
10,"Kill goblin by standing top, convert to archer, and shoot",6,skill_tree_progression(player),skill,Skill system and character progression
10,"Kill goblin by standing top, convert to archer, and shoot",7,tactical_advantage(ranged_position),movement,Basic movement and navigation
10,"Kill goblin by standing top, convert to archer, and shoot",8,complex_sequence_planning(multi_step),environment,Environmental awareness and interaction
10,"Kill goblin by standing top, convert to archer, and shoot",9,"equipment_toggle(player, weapon)",combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",10,"combat_style_change(melee, ranged)",combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",11,strategic_positioning(high_ground),movement,Basic movement and navigation
10,"Kill goblin by standing top, convert to archer, and shoot",12,skill_activation(archer_abilities),skill,Skill system and character progression
10,"Kill goblin by standing top, convert to archer, and shoot",13,"combat_range(ranged, distance)",combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",14,"projectile_mechanics(arrow, bow)",environment,Environmental awareness and interaction
10,"Kill goblin by standing top, convert to archer, and shoot",15,target_acquisition(ranged_combat),combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",16,combat_versatility(multiple_styles),combat,Combat mechanics and enemy interaction
10,"Kill goblin by standing top, convert to archer, and shoot",17,"advanced_tactics(positioning, timing)",movement,Basic movement and navigation
10,"Kill goblin by standing top, convert to archer, and shoot",18,skill_mastery(archer_class),skill,Skill system and character progression
