llm,agent_config,seed,run_id,quest_id,quest_name,quest_type,quest_category,difficulty,success,attempts,first_try_success,completion_time,total_tokens,sample_efficiency,avg_interactions_per_attempt,final_successful_attempt_interactions,adaptation_speed,rules_learned,rules_retracted,ntp_veto_rate,ilp_confidence,error_types,recovery_strategies,learning_opportunity,failure_modes_encountered
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,2,Find the goblin and kill it,primitive,combat,2,True,8,False,342.0,615,118,14.8,11,,,,0.0,0.96071514,"['state_confusion', 'object_recognition_failure', 'object_recognition_failure', 'pathfinding_error', 'context_loss']","['reset_and_restart', 'request_clarification', 'use_fallback_strategy', 'simplify_approach', 'manual_intervention']",combat_mechanics,"['combat_strategy_error', 'health_depletion', 'enemy_detection_failure']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,3,"Find and grab the mushroom, meat, and pumpkin",primitive,multi_collection,3,True,5,False,357.6,579,118,23.6,14,,,,0.0,0.898684168,"['collision_detection_failure', 'memory_overflow', 'context_loss', 'movement_confusion']","['seek_alternative_path', 'manual_intervention', 'seek_alternative_path', 'retry_with_modified_prompt']",inventory_management,"['incomplete_collection', 'inventory_full', 'item_confusion']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,4,"Consume mushroom, then meat",learning,critical_learning,3,True,2,False,87.3,211,37,18.5,10,,,,0.0,0.868734738,['spatial_reasoning_error'],['request_clarification'],harm_detection_and_avoidance,['consumption_mistake']
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,5,Check the stats and consume pumpkin,conditional,ui_interaction,2,True,2,False,104.7,186,38,19.0,13,,,,0.0,0.82042635,['pathfinding_error'],['retry_with_modified_prompt'],conditional_behavior,['interface_confusion']
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,6,Kill two goblins and one sheep,productivity,scaled_combat,3,True,7,False,591.7,921,194,27.7,19,,,,0.0,0.978826172,"['visual_occlusion', 'movement_confusion', 'state_confusion', 'movement_confusion', 'pathfinding_error']","['retry_with_modified_prompt', 'manual_intervention', 'manual_intervention', 'use_fallback_strategy', 'backtrack_and_replan']",sequence_scaling,"['combat_fatigue', 'health_management', 'target_confusion']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,7,Find Purple Bob and interact with him,primitive,npc_interaction,4,True,11,False,657.7,1567,265,24.1,18,,,,0.0,0.951509881,"['object_recognition_failure', 'state_confusion', 'collision_detection_failure', 'state_confusion', 'collision_detection_failure']","['manual_intervention', 'retry_with_modified_prompt', 'reset_and_restart', 'reset_and_restart', 'retry_with_modified_prompt']",social_interaction,"['interaction_failed', 'npc_not_found', 'dialogue_stuck']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,8,Find Brother Blue and report back to Purple Bob,systematicity,multi_npc_quest,4,True,10,False,399.3,1481,126,12.6,9,,,,0.0,0.882752816,"['memory_overflow', 'visual_occlusion', 'pathfinding_error', 'visual_occlusion', 'movement_confusion']","['reset_and_restart', 'manual_intervention', 'request_clarification', 'manual_intervention', 'retry_with_modified_prompt']",quest_chain_management,"['npc_mix_up', 'quest_state_confusion', 'incomplete_reporting']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,9,Kill one more goblin,systematicity,pattern_reuse,2,True,1,True,32.8,82,12,12.0,8,,,,0.0,0.904430398,,,skill_transfer,
LLaVA-1.6,AGEL-Comp-w/o-NTP,42,LLaVA-1.6_AGEL-Comp-w/o-NTP_42,10,"Kill goblin by standing top, convert to archer, and shoot",productivity,complex_sequence,5,False,16,False,1061.4,3479,370,23.1,0,,,,0.0,0.89147785,"['context_loss', 'collision_detection_failure', 'visual_occlusion', 'object_recognition_failure', 'context_loss']","['backtrack_and_replan', 'backtrack_and_replan', 'request_clarification', 'seek_alternative_path', 'manual_intervention']",advanced_strategy,"['state_management_failure', 'complexity_overload', 'sequence_break']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,1,Find the bag of gold and grab it,primitive,navigation,1,True,1,True,131.0,345,40,10.0,8,,,,0.011105163,1.0,"['object_recognition_failure', 'memory_overflow', 'movement_confusion']","['retry_with_modified_prompt', 'manual_intervention', 'retry_with_modified_prompt']",basic_interaction,"['wrong_direction', 'path_blocked', 'collision_stuck']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,2,Find the goblin and kill it,primitive,combat,2,True,11,False,745.2,1069,162,14.7,12,,,,0.001982224,1.0,"['state_confusion', 'context_loss', 'context_loss', 'memory_overflow', 'collision_detection_failure']","['manual_intervention', 'seek_alternative_path', 'seek_alternative_path', 'backtrack_and_replan', 'simplify_approach']",combat_mechanics,"['health_depletion', 'enemy_detection_failure', 'combat_strategy_error']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,3,"Find and grab the mushroom, meat, and pumpkin",primitive,multi_collection,3,True,7,False,614.4,934,171,24.4,22,,,,0.041967893,1.0,"['pathfinding_error', 'object_recognition_failure', 'movement_confusion', 'object_recognition_failure', 'memory_overflow']","['request_clarification', 'simplify_approach', 'request_clarification', 'seek_alternative_path', 'reset_and_restart']",inventory_management,"['inventory_full', 'item_confusion', 'incomplete_collection']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,4,"Consume mushroom, then meat",learning,critical_learning,3,True,11,False,908.7,1356,300,27.3,21,,,,0.033411371,1.0,"['object_recognition_failure', 'memory_overflow', 'movement_confusion', 'visual_occlusion', 'object_recognition_failure']","['manual_intervention', 'use_fallback_strategy', 'retry_with_modified_prompt', 'manual_intervention', 'seek_alternative_path']",harm_detection_and_avoidance,"['consumption_mistake', 'repeated_harm', 'no_learning_from_damage']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,5,Check the stats and consume pumpkin,conditional,ui_interaction,2,True,8,False,614.7,775,152,19.0,17,,,,0.001982224,1.0,"['state_confusion', 'context_loss', 'collision_detection_failure', 'state_confusion', 'state_confusion']","['backtrack_and_replan', 'use_fallback_strategy', 'seek_alternative_path', 'backtrack_and_replan', 'backtrack_and_replan']",conditional_behavior,"['action_unavailable', 'interface_confusion', 'wrong_menu']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,6,Kill two goblins and one sheep,productivity,scaled_combat,3,False,16,False,1082.2,2619,368,23.0,0,,,,0.111322421,1.0,"['object_recognition_failure', 'collision_detection_failure', 'pathfinding_error', 'state_confusion', 'state_confusion']","['backtrack_and_replan', 'retry_with_modified_prompt', 'manual_intervention', 'simplify_approach', 'reset_and_restart']",sequence_scaling,"['health_management', 'target_confusion', 'combat_fatigue']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,7,Find Purple Bob and interact with him,primitive,npc_interaction,4,False,16,False,1425.7,3070,384,24.0,0,,,,0.021160666,1.0,"['object_recognition_failure', 'spatial_reasoning_error', 'state_confusion', 'movement_confusion', 'context_loss']","['manual_intervention', 'use_fallback_strategy', 'use_fallback_strategy', 'request_clarification', 'seek_alternative_path']",social_interaction,"['interaction_failed', 'dialogue_stuck', 'npc_not_found']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,8,Find Brother Blue and report back to Purple Bob,systematicity,multi_npc_quest,4,False,16,False,930.3,2931,366,22.9,0,,,,0.048981934,1.0,"['collision_detection_failure', 'spatial_reasoning_error', 'context_loss', 'memory_overflow', 'context_loss']","['use_fallback_strategy', 'request_clarification', 'seek_alternative_path', 'reset_and_restart', 'simplify_approach']",quest_chain_management,"['incomplete_reporting', 'npc_mix_up', 'quest_state_confusion']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,9,Kill one more goblin,systematicity,pattern_reuse,2,True,12,False,582.3,1191,202,16.8,15,,,,0.012898072,1.0,"['object_recognition_failure', 'collision_detection_failure', 'spatial_reasoning_error', 'movement_confusion', 'pathfinding_error']","['backtrack_and_replan', 'reset_and_restart', 'backtrack_and_replan', 'request_clarification', 'seek_alternative_path']",skill_transfer,"['skill_decay', 'overconfidence', 'pattern_degradation']"
LLaVA-1.6,AGEL-Comp-w/o-ILP,42,LLaVA-1.6_AGEL-Comp-w/o-ILP_42,10,"Kill goblin by standing top, convert to archer, and shoot",productivity,complex_sequence,5,False,16,False,1441.8,2897,389,24.3,0,,,,0.024957141,1.0,"['movement_confusion', 'state_confusion', 'memory_overflow', 'memory_overflow', 'state_confusion']","['use_fallback_strategy', 'retry_with_modified_prompt', 'reset_and_restart', 'simplify_approach', 'retry_with_modified_prompt']",advanced_strategy,"['sequence_break', 'complexity_overload', 'state_management_failure']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,1,Find the bag of gold and grab it,primitive,navigation,1,True,6,False,433.2,619,100,16.7,14,,,,0.0,1.0,"['visual_occlusion', 'context_loss', 'memory_overflow', 'object_recognition_failure', 'object_recognition_failure']","['use_fallback_strategy', 'manual_intervention', 'use_fallback_strategy', 'simplify_approach', 'request_clarification']",basic_interaction,"['wrong_direction', 'collision_stuck', 'path_blocked']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,2,Find the goblin and kill it,primitive,combat,2,True,12,False,1224.1,1049,306,25.5,22,,,,0.0,1.0,"['collision_detection_failure', 'pathfinding_error', 'memory_overflow', 'spatial_reasoning_error', 'visual_occlusion']","['retry_with_modified_prompt', 'request_clarification', 'request_clarification', 'request_clarification', 'reset_and_restart']",combat_mechanics,"['health_depletion', 'combat_strategy_error', 'enemy_detection_failure']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,3,"Find and grab the mushroom, meat, and pumpkin",primitive,multi_collection,3,True,9,False,801.0,1060,209,23.2,20,,,,0.0,1.0,"['context_loss', 'visual_occlusion', 'spatial_reasoning_error', 'memory_overflow', 'collision_detection_failure']","['backtrack_and_replan', 'request_clarification', 'simplify_approach', 'reset_and_restart', 'backtrack_and_replan']",inventory_management,"['incomplete_collection', 'inventory_full', 'item_confusion']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,4,"Consume mushroom, then meat",learning,critical_learning,3,True,12,False,1143.2,1535,307,25.6,18,,,,0.0,1.0,"['state_confusion', 'memory_overflow', 'object_recognition_failure', 'collision_detection_failure', 'visual_occlusion']","['reset_and_restart', 'manual_intervention', 'reset_and_restart', 'backtrack_and_replan', 'seek_alternative_path']",harm_detection_and_avoidance,"['no_learning_from_damage', 'consumption_mistake', 'repeated_harm']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,5,Check the stats and consume pumpkin,conditional,ui_interaction,2,True,11,False,728.4,1024,240,21.8,21,,,,0.0,1.0,"['visual_occlusion', 'pathfinding_error', 'pathfinding_error', 'spatial_reasoning_error', 'pathfinding_error']","['simplify_approach', 'reset_and_restart', 'use_fallback_strategy', 'request_clarification', 'backtrack_and_replan']",conditional_behavior,"['wrong_menu', 'action_unavailable', 'interface_confusion']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,6,Kill two goblins and one sheep,productivity,scaled_combat,3,False,16,False,1283.7,3344,369,23.1,0,,,,0.0,1.0,"['state_confusion', 'pathfinding_error', 'memory_overflow', 'context_loss', 'context_loss']","['backtrack_and_replan', 'seek_alternative_path', 'retry_with_modified_prompt', 'use_fallback_strategy', 'reset_and_restart']",sequence_scaling,"['health_management', 'target_confusion', 'combat_fatigue']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,7,Find Purple Bob and interact with him,primitive,npc_interaction,4,False,16,False,1357.8,3622,374,23.4,0,,,,0.0,1.0,"['memory_overflow', 'pathfinding_error', 'object_recognition_failure', 'object_recognition_failure', 'memory_overflow']","['retry_with_modified_prompt', 'manual_intervention', 'manual_intervention', 'seek_alternative_path', 'retry_with_modified_prompt']",social_interaction,"['npc_not_found', 'dialogue_stuck', 'interaction_failed']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,8,Find Brother Blue and report back to Purple Bob,systematicity,multi_npc_quest,4,False,16,False,1924.8,3884,426,26.6,0,,,,0.0,1.0,"['memory_overflow', 'movement_confusion', 'memory_overflow', 'visual_occlusion', 'visual_occlusion']","['retry_with_modified_prompt', 'seek_alternative_path', 'retry_with_modified_prompt', 'request_clarification', 'retry_with_modified_prompt']",quest_chain_management,"['incomplete_reporting', 'npc_mix_up', 'quest_state_confusion']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,9,Kill one more goblin,systematicity,pattern_reuse,2,True,8,False,611.1,920,149,18.6,20,,,,0.0,1.0,"['spatial_reasoning_error', 'visual_occlusion', 'pathfinding_error', 'object_recognition_failure', 'pathfinding_error']","['use_fallback_strategy', 'reset_and_restart', 'request_clarification', 'use_fallback_strategy', 'manual_intervention']",skill_transfer,"['pattern_degradation', 'overconfidence', 'skill_decay']"
LLaVA-1.6,MLLM-Agent-Baseline,123,LLaVA-1.6_MLLM-Agent-Baseline_123,10,"Kill goblin by standing top, convert to archer, and shoot",productivity,complex_sequence,5,False,16,False,1227.8,3040,428,26.8,0,,,,0.0,1.0,"['pathfinding_error', 'visual_occlusion', 'visual_occlusion', 'object_recognition_failure', 'pathfinding_error']","['use_fallback_strategy', 'simplify_approach', 'simplify_approach', 'backtrack_and_replan', 'backtrack_and_replan']",advanced_strategy,"['sequence_break', 'state_management_failure', 'complexity_overload']"
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,1,Find the bag of gold and grab it,primitive,navigation,1,True,1,True,22.7,66,9,9.0,6,,6.0,1.0,0.019744119,0.871413706,,,basic_interaction,
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,2,Find the goblin and kill it,primitive,combat,2,True,5,False,137.9,396,61,12.2,6,2.0,14.0,4.0,0.010555632,0.940873157,"['collision_detection_failure', 'visual_occlusion', 'pathfinding_error', 'movement_confusion']","['backtrack_and_replan', 'use_fallback_strategy', 'reset_and_restart', 'retry_with_modified_prompt']",combat_mechanics,"['enemy_detection_failure', 'health_depletion', 'combat_strategy_error']"
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,3,"Find and grab the mushroom, meat, and pumpkin",primitive,multi_collection,3,True,1,True,43.1,122,20,20.0,16,,7.0,1.0,0.005566402,0.914810498,,,inventory_management,
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,4,"Consume mushroom, then meat",learning,critical_learning,3,True,2,False,115.3,210,44,22.0,16,1.0,14.0,3.0,0.060356729,0.919200887,['object_recognition_failure'],['request_clarification'],harm_detection_and_avoidance,['repeated_harm']
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,5,Check the stats and consume pumpkin,conditional,ui_interaction,2,True,1,True,24.9,90,9,9.0,7,,5.0,2.0,0.045177446,0.874280908,,,conditional_behavior,
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,6,Kill two goblins and one sheep,productivity,scaled_combat,3,True,2,False,125.8,203,46,23.0,17,1.0,12.0,3.0,0.068415005,0.962915362,['spatial_reasoning_error'],['retry_with_modified_prompt'],sequence_scaling,['health_management']
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,7,Find Purple Bob and interact with him,primitive,npc_interaction,4,True,4,False,209.8,443,100,25.0,18,2.3,11.0,2.0,0.027031253,0.99534202,"['context_loss', 'object_recognition_failure', 'spatial_reasoning_error']","['seek_alternative_path', 'manual_intervention', 'manual_intervention']",social_interaction,"['dialogue_stuck', 'interaction_failed', 'npc_not_found']"
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,8,Find Brother Blue and report back to Purple Bob,systematicity,multi_npc_quest,4,True,4,False,203.7,403,89,22.2,17,2.9,14.0,3.0,0.039158451,0.993543724,"['memory_overflow', 'movement_confusion', 'object_recognition_failure']","['reset_and_restart', 'reset_and_restart', 'request_clarification']",quest_chain_management,"['npc_mix_up', 'quest_state_confusion', 'incomplete_reporting']"
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,9,Kill one more goblin,systematicity,pattern_reuse,2,True,1,True,30.2,79,12,12.0,8,,3.0,0.0,0.0161126,0.947227573,,,skill_transfer,
LLaVA-1.6,AGEL-Comp-Full-System,123,LLaVA-1.6_AGEL-Comp-Full-System_123,10,"Kill goblin by standing top, convert to archer, and shoot",productivity,complex_sequence,5,True,4,False,288.9,684,105,26.2,19,2.5,7.0,1.0,0.039045877,0.877565029,"['spatial_reasoning_error', 'movement_confusion', 'context_loss']","['seek_alternative_path', 'use_fallback_strategy', 'request_clarification']",advanced_strategy,"['state_management_failure', 'sequence_break', 'complexity_overload']"
LLaVA-1.6,AGEL-Comp-w/o-NTP,123,LLaVA-1.6_AGEL-Comp-w/o-NTP_123,1,Find the bag of gold and grab it,primitive,navigation,1,True,1,True,75.2,256,27,9.0,4,,,,0.0,0.925932649,"['spatial_reasoning_error', 'context_loss']","['reset_and_restart', 'reset_and_restart']",basic_interaction,"['wrong_direction', 'collision_stuck']"
